Cycle,X1 transaction date,X2 house age,X3 distance to the nearest MRT station,X4 number of convenience stores,X5 latitude,X6 longitude,Y house price of unit area,Y
40,2013.2,16,289.32,5,24.98203,121.54348,46.2,Not Invest
41,2013,14,4082.02,0,24.94155,121.50381,15.9,Invest
42,2013.5,17,4066.59,0,24.94297,121.50342,18.2,Invest
43,2013.4,36,519.46,5,24.96305,121.53758,34.7,Invest
44,2012.8,34,512.79,6,24.98748,121.54301,34.1,Invest
45,2013.6,3,533.48,4,24.97445,121.54765,53.9,Not Invest
46,2013.1,37,488.82,8,24.97015,121.54494,38.3,Invest
47,2013.4,22,463.96,9,24.9703,121.54458,42,Not Invest
48,2013.6,36,640.74,3,24.97563,121.53715,61.5,Not Invest
49,2013.4,24,4605.75,0,24.94684,121.49578,13.4,Invest
50,2012.7,29,4510.36,1,24.94925,121.49542,13.2,Invest
51,2013.4,22,512.55,4,24.974,121.53842,44.2,Not Invest
52,2013.1,31,1758.41,1,24.95402,121.55282,20.7,Invest
53,2013.6,32,1438.58,3,24.97419,121.5175,27,Invest
54,2013.1,13,492.23,5,24.96515,121.53737,38.9,Not Invest
55,2013.1,16,289.32,5,24.98203,121.54348,51.7,Not Invest
56,2012.8,32,1160.63,0,24.94968,121.53009,13.7,Invest
57,2013.4,34,371.25,8,24.97254,121.54059,41.9,Not Invest
58,2012.9,4,56.47,7,24.95744,121.53711,53.5,Not Invest
59,2013.5,30,4510.36,1,24.94925,121.49542,22.6,Invest
60,2013.1,13,336.05,5,24.95776,121.53438,42.4,Not Invest
61,2013.4,11,1931.21,2,24.96365,121.51471,21.3,Invest
62,2013.5,5,259.66,6,24.97585,121.54516,63.2,Not Invest
63,2012.9,17,2175.88,3,24.96303,121.51254,27.7,Invest
64,2013.6,3,533.48,4,24.97445,121.54765,55,Not Invest
65,2013.3,18,995.76,0,24.96305,121.54915,25.3,Invest
66,2013.4,40,123.74,8,24.97635,121.54329,44.3,Not Invest
67,2013,1,193.58,6,24.96571,121.54089,50.7,Not Invest
68,2013.5,9,104.81,5,24.96674,121.54067,56.8,Not Invest
69,2013.4,30,464.22,6,24.97964,121.53805,36.2,Invest
70,2012.8,13,561.98,5,24.98746,121.54391,42,Not Invest
71,2013.6,7,90.46,9,24.97433,121.5431,59,Not Invest
72,2013.1,36,640.74,3,24.97563,121.53715,40.8,Not Invest
73,2013.6,33,424.54,8,24.97587,121.53913,36.3,Invest
74,2013.2,14,4082.02,0,24.94155,121.50381,20,Invest
75,2012.9,7,379.56,10,24.98343,121.53762,54.4,Not Invest
76,2013.5,12,1360.14,1,24.95204,121.54842,29.5,Invest
77,2013.6,36,616.4,3,24.97723,121.53767,36.8,Invest
78,2012.8,21,2185.13,3,24.96322,121.51237,25.6,Invest
79,2012.9,38,552.44,2,24.97598,121.53381,29.8,Invest
80,2013,18,1414.84,1,24.95182,121.54887,26.5,Invest
81,2013.5,12,533.48,4,24.97445,121.54765,40.3,Not Invest
82,2013,31,377.8,6,24.96427,121.53964,36.8,Invest
83,2013.1,13,150.93,7,24.96725,121.54252,48.1,Not Invest
84,2012.9,25,2707.39,3,24.96056,121.50831,17.7,Invest
85,2013.1,15,383.28,7,24.96735,121.54464,43.7,Not Invest
86,2012.8,0,338.97,9,24.96853,121.54413,50.8,Not Invest
87,2012.8,2,1455.8,1,24.9512,121.549,27,Invest
88,2013.6,17,4066.59,0,24.94297,121.50342,18.3,Invest
89,2012.9,9,1406.43,0,24.98573,121.52758,48,Not Invest
90,2013.5,23,3947.95,0,24.94783,121.50243,25.3,Invest
91,2012.8,0,274.01,1,24.9748,121.53059,45.4,Not Invest
92,2013.3,9,1402.02,0,24.98569,121.5276,43.2,Not Invest
93,2012.9,21,2469.65,4,24.96108,121.51046,21.8,Invest
94,2012.9,32,1146.33,0,24.9492,121.53076,16.1,Invest
95,2012.9,41,167.6,5,24.9663,121.54026,41,Not Invest
96,2012.9,8,104.81,5,24.96674,121.54067,51.8,Not Invest
97,2013.4,6,90.46,9,24.97433,121.5431,59.5,Not Invest
98,2013.1,28,617.44,3,24.97746,121.53299,34.6,Invest
99,2013.4,16,289.32,5,24.98203,121.54348,51,Not Invest
100,2013.4,6,90.46,9,24.97433,121.5431,62.2,Not Invest
101,2013.5,18,964.75,4,24.98872,121.53411,38.2,Invest
102,2012.8,13,170.13,1,24.97371,121.52984,32.9,Invest
103,2013.1,1,193.58,6,24.96571,121.54089,54.4,Not Invest
104,2012.8,0,208.39,6,24.95618,121.53844,45.7,Not Invest
105,2012.7,33,392.45,6,24.96398,121.5425,30.5,Invest
106,2012.8,0,293,6,24.97744,121.54458,71,Not Invest
107,2013.1,17,189.52,8,24.97707,121.54308,47.1,Not Invest
108,2013.3,12,1360.14,1,24.95204,121.54842,26.6,Invest
109,2013.4,31,592.5,2,24.9726,121.53561,34.1,Invest
110,2013.6,4,2147.38,3,24.96299,121.51284,28.4,Invest
111,2013.1,8,104.81,5,24.96674,121.54067,51.6,Not Invest
112,2013.6,33,196.62,7,24.97701,121.54224,39.4,Not Invest
113,2013.4,10,2102.43,3,24.96044,121.51462,23.1,Invest
114,2013.3,15,393.26,6,24.96172,121.53812,7.6,Invest
115,2012.7,31,143.84,8,24.98155,121.54142,53.3,Not Invest
116,2013.1,21,737.92,2,24.98092,121.54739,46.4,Not Invest
117,2013,31,6396.28,1,24.94375,121.47883,12.2,Invest
118,2013,14,4197.35,0,24.93885,121.50383,13,Invest
119,2013.5,25,1583.72,3,24.96622,121.51709,30.6,Invest
120,2013.5,17,289.32,5,24.98203,121.54348,59.6,Not Invest
121,2013.2,13,492.23,5,24.96515,121.53737,31.3,Invest
122,2013.5,14,492.23,5,24.96515,121.53737,48,Not Invest
123,2013.3,32,414.95,4,24.98199,121.54464,32.5,Invest
124,2013.4,0,185.43,0,24.9711,121.5317,45.5,Not Invest
125,2012.9,10,279.17,7,24.97528,121.54541,57.4,Not Invest
126,2013.2,1,193.58,6,24.96571,121.54089,48.6,Not Invest
127,2013.1,39,804.69,4,24.97838,121.53477,62.9,Not Invest
128,2013.3,4,383.86,5,24.98085,121.54391,55,Not Invest
129,2013.1,41,124.99,6,24.96674,121.54039,60.7,Not Invest
130,2013.4,39,216.83,7,24.98086,121.54162,41,Not Invest
131,2013.3,30,535.53,8,24.98092,121.53653,37.5,Invest
132,2013.5,4,2147.38,3,24.96299,121.51284,30.7,Invest
133,2013.2,27,482.76,5,24.97433,121.53863,37.5,Invest
134,2012.8,18,373.39,8,24.9866,121.54082,39.5,Not Invest
135,2012.7,33,186.97,6,24.96604,121.54211,42.2,Not Invest
136,2012.9,19,1009.24,0,24.96357,121.54951,20.8,Invest
137,2012.8,11,390.57,5,24.97937,121.54245,46.8,Not Invest
138,2013.5,14,319.07,6,24.96495,121.54277,47.4,Not Invest
139,2013.2,10,942.47,0,24.97843,121.52406,43.5,Not Invest
140,2012.7,13,492.23,5,24.96515,121.53737,42.5,Not Invest
141,2013.3,16,289.32,5,24.98203,121.54348,51.4,Not Invest
142,2013.3,5,1559.83,3,24.97213,121.51627,28.9,Invest
143,2013.4,20,640.61,5,24.97017,121.54647,37.5,Invest
144,2013.5,14,492.23,5,24.96515,121.53737,40.1,Not Invest
145,2013.1,12,1360.14,1,24.95204,121.54842,28.4,Invest
146,2012.9,2,451.24,5,24.97563,121.54694,45.5,Not Invest
147,2012.8,0,185.43,0,24.9711,121.5317,52.2,Not Invest
148,2012.8,3,489.88,8,24.97017,121.54494,43.2,Not Invest
149,2013.5,16,3780.59,0,24.93293,121.51203,45.1,Not Invest
150,2012.7,35,179.45,8,24.97349,121.54245,39.7,Not Invest
151,2013.3,36,170.73,7,24.96719,121.54269,48.5,Not Invest
152,2013.5,5,387.77,9,24.98118,121.53788,44.7,Not Invest
153,2013.3,12,1360.14,1,24.95204,121.54842,28.9,Invest
154,2013.3,7,376.17,6,24.95418,121.53713,40.9,Not Invest
155,2013.5,17,4066.59,0,24.94297,121.50342,20.7,Invest
156,2013.2,14,4082.02,0,24.94155,121.50381,15.6,Invest
157,2013.6,31,1264.73,0,24.94883,121.52954,18.3,Invest
158,2013.3,16,815.93,4,24.97886,121.53464,35.6,Invest
159,2013,12,390.57,5,24.97937,121.54245,39.4,Not Invest
160,2012.7,16,815.93,4,24.97886,121.53464,37.4,Invest
161,2012.9,4,49.66,8,24.95836,121.53756,57.8,Not Invest
162,2013.4,19,616.4,3,24.97723,121.53767,39.6,Not Invest
163,2012.8,16,4066.59,0,24.94297,121.50342,11.6,Invest
164,2013.5,9,104.81,5,24.96674,121.54067,55.5,Not Invest
165,2012.8,0,185.43,0,24.9711,121.5317,55.2,Not Invest
166,2012.9,14,1236.56,1,24.97694,121.55391,30.6,Invest
167,2013.4,0,293,6,24.97744,121.54458,73.6,Not Invest
168,2013.4,28,330.09,8,24.97408,121.54011,43.4,Not Invest
169,2013.1,28,515.11,5,24.96299,121.5432,37.4,Invest
170,2013.4,8,1962.63,1,24.95468,121.55481,23.5,Invest
171,2013.3,24,4527.69,0,24.94741,121.49628,14.4,Invest
172,2013.1,4,383.86,5,24.98085,121.54391,58.8,Not Invest
173,2013.6,7,90.46,9,24.97433,121.5431,58.1,Not Invest
174,2013.1,41,401.88,4,24.98326,121.5446,35.1,Invest
175,2013.4,4,432.04,7,24.9805,121.53778,45.2,Not Invest
176,2013.1,30,472.17,3,24.97005,121.53758,36.5,Invest
177,2012.8,14,4573.78,0,24.94867,121.49507,19.2,Invest
178,2013.1,33,181.08,9,24.97697,121.54262,42,Not Invest
179,2013.5,13,1144.44,4,24.99176,121.53456,36.7,Invest
180,2013.1,14,438.85,1,24.97493,121.5273,42.6,Not Invest
181,2012.7,27,4449.27,0,24.94898,121.49621,15.5,Invest
182,2013.2,12,201.89,8,24.98489,121.54121,55.9,Not Invest
183,2013.5,14,2147.38,3,24.96299,121.51284,23.6,Invest
184,2013.5,17,4082.02,0,24.94155,121.50381,18.8,Invest
185,2012.8,14,2615.47,0,24.95495,121.56174,21.8,Invest
186,2012.8,31,1447.29,3,24.97285,121.5173,21.5,Invest
187,2013.2,21,2185.13,3,24.96322,121.51237,25.7,Invest
188,2013,9,3078.18,0,24.95464,121.56627,22,Invest
189,2012.9,35,190.04,8,24.97707,121.54312,44.3,Not Invest
190,2012.9,16,4066.59,0,24.94297,121.50342,20.5,Invest
191,2013.5,35,616.57,8,24.97945,121.53642,42.3,Not Invest
192,2013.2,13,750.07,2,24.97371,121.54951,37.8,Invest
193,2013.2,44,57.59,7,24.9675,121.54069,42.7,Not Invest
194,2013.4,10,421.48,5,24.98246,121.54477,49.3,Not Invest
195,2013.5,15,3771.9,0,24.93363,121.51158,29.3,Invest
196,2013.3,15,461.1,5,24.95425,121.5399,34.6,Invest
197,2013,23,707.91,2,24.981,121.54713,36.6,Invest
198,2013.3,34,126.73,8,24.96881,121.54089,48.2,Not Invest
199,2013.1,34,157.61,7,24.96628,121.54196,39.1,Not Invest
200,2013.4,18,451.64,8,24.96945,121.5449,31.6,Invest
201,2013.4,17,995.76,0,24.96305,121.54915,25.5,Invest
202,2013.4,13,561.98,5,24.98746,121.54391,45.9,Not Invest
203,2012.9,38,642.7,3,24.97559,121.53713,31.5,Invest
204,2012.7,16,289.32,5,24.98203,121.54348,46.1,Not Invest
205,2013,18,1414.84,1,24.95182,121.54887,26.6,Invest
206,2013.1,13,1449.72,3,24.97289,121.51728,21.4,Invest
207,2013.3,22,379.56,10,24.98343,121.53762,44,Not Invest
208,2013.1,39,665.06,3,24.97503,121.53692,34.2,Invest
209,2012.8,12,1360.14,1,24.95204,121.54842,26.2,Invest
210,2012.8,35,175.63,8,24.97347,121.54271,40.9,Not Invest
211,2013.5,5,390.57,5,24.97937,121.54245,52.2,Not Invest
212,2013.1,0,274.01,1,24.9748,121.53059,43.5,Not Invest
213,2013.3,18,1805.67,2,24.98672,121.52091,31.1,Invest
214,2013.1,6,90.46,9,24.97433,121.5431,58,Not Invest
215,2013.6,18,1783.18,3,24.96731,121.51486,20.9,Invest
216,2013.3,19,383.71,8,24.972,121.54477,48.1,Not Invest
217,2013.3,38,590.93,1,24.97153,121.53559,39.7,Not Invest
218,2012.9,28,372.62,6,24.97838,121.54119,40.8,Not Invest
219,2013.4,14,492.23,5,24.96515,121.53737,43.8,Not Invest
220,2012.8,29,529.78,8,24.98102,121.53655,40.2,Not Invest
221,2013.3,37,186.51,9,24.97703,121.54265,78.3,Not Invest
222,2013.3,9,1402.02,0,24.98569,121.5276,38.5,Not Invest
223,2013.6,31,431.11,10,24.98123,121.53743,48.5,Not Invest
224,2013.3,9,1402.02,0,24.98569,121.5276,42.3,Not Invest
225,2013.3,35,324.94,6,24.97814,121.5417,46,Not Invest
226,2013.3,1,193.58,6,24.96571,121.54089,49,Not Invest
227,2013,17,4082.02,0,24.94155,121.50381,12.8,Invest
228,2012.9,32,265.06,8,24.98059,121.53986,40.2,Not Invest
229,2013.4,12,3171.33,0,25.00115,121.51776,46.6,Not Invest
230,2013.6,31,1156.41,0,24.9489,121.53095,19,Invest
231,2013.5,4,2147.38,3,24.96299,121.51284,33.4,Invest
232,2012.8,16,4074.74,0,24.94235,121.50357,14.7,Invest
233,2012.9,27,4412.77,1,24.95032,121.49587,17.4,Invest
234,2013.3,40,333.37,9,24.98016,121.53932,32.4,Invest
235,2013.3,8,2216.61,4,24.96007,121.51361,23.9,Invest
236,2012.8,13,250.63,7,24.96606,121.54297,39.3,Not Invest
237,2013.2,4,373.84,10,24.98322,121.53765,61.9,Not Invest
238,2013.2,13,732.85,0,24.97668,121.52518,39,Not Invest
239,2013.1,13,732.85,0,24.97668,121.52518,40.6,Not Invest
240,2013.5,18,837.72,0,24.96334,121.54767,29.7,Invest
241,2013.1,11,1712.63,2,24.96412,121.5167,28.8,Invest
242,2013.5,14,250.63,7,24.96606,121.54297,41.4,Not Invest
243,2012.8,2,2077.39,3,24.96357,121.51329,33.4,Invest
244,2013.4,33,204.17,8,24.98236,121.53923,48.2,Not Invest
245,2013.1,5,1559.83,3,24.97213,121.51627,21.7,Invest
246,2013.4,8,639.62,5,24.97258,121.54814,40.8,Not Invest
247,2013.4,16,389.82,6,24.96412,121.54273,40.6,Not Invest
248,2013.3,22,1055.07,0,24.96211,121.54928,23.1,Invest
249,2013,19,1009.24,0,24.96357,121.54951,22.3,Invest
250,2012.8,18,6306.15,1,24.95743,121.47516,15,Invest
251,2013.2,39,424.71,7,24.97429,121.53917,30,Invest
252,2012.9,32,1159.45,0,24.9496,121.53018,13.8,Invest
253,2012.8,6,90.46,9,24.97433,121.5431,52.7,Not Invest
254,2012.7,30,1735.6,2,24.96464,121.51623,25.9,Invest
255,2012.7,1,329.97,5,24.98254,121.54395,51.8,Not Invest
256,2013.4,32,5512.04,1,24.95095,121.48458,17.4,Invest
257,2012.7,15,339.23,1,24.97519,121.53151,26.5,Invest
258,2013.3,17,444.13,1,24.97501,121.5273,43.9,Not Invest
259,2013.4,0,293,6,24.97744,121.54458,63.3,Not Invest
260,2013.1,18,837.72,0,24.96334,121.54767,28.8,Invest
261,2013.3,17,1485.1,4,24.97073,121.517,30.7,Invest
262,2013.2,16,2288.01,3,24.95885,121.51359,24.4,Invest
263,2012.9,16,289.32,5,24.98203,121.54348,53,Not Invest
264,2013.4,4,2147.38,3,24.96299,121.51284,31.7,Invest
265,2013.2,33,493.66,7,24.96968,121.54522,40.6,Not Invest
266,2012.8,16,815.93,4,24.97886,121.53464,38.1,Invest
267,2013.3,18,1783.18,3,24.96731,121.51486,23.7,Invest
268,2012.8,35,482.76,5,24.97433,121.53863,41.1,Not Invest
269,2013.4,17,390.57,5,24.97937,121.54245,40.1,Not Invest
270,2013,18,837.72,0,24.96334,121.54767,23,Invest
271,2013.3,11,252.58,1,24.9746,121.53046,117.5,Not Invest
272,2012.9,18,451.64,8,24.96945,121.5449,26.5,Invest
273,2012.8,13,492.23,5,24.96515,121.53737,40.5,Not Invest
274,2013.4,13,170.13,1,24.97371,121.52984,29.3,Invest
275,2013.2,28,394.02,7,24.97305,121.53994,41,Not Invest
276,2012.7,2,23.38,7,24.96772,121.54102,49.7,Not Invest
277,2013,19,461.1,5,24.95425,121.5399,34,Invest
278,2013.4,21,2185.13,3,24.96322,121.51237,27.7,Invest
279,2012.8,0,208.39,6,24.95618,121.53844,44,Not Invest
280,2013.4,3,1554.25,3,24.97026,121.51642,31.1,Invest
281,2013.3,2,184.33,6,24.96581,121.54086,45.4,Not Invest
282,2013.3,5,387.77,9,24.98118,121.53788,44.8,Not Invest
283,2012.9,2,1455.8,1,24.9512,121.549,25.6,Invest
284,2013.4,34,1978.67,2,24.98674,121.51844,23.5,Invest
285,2012.9,15,383.28,7,24.96735,121.54464,34.4,Invest
286,2013.2,30,718.29,3,24.97509,121.53644,55.3,Not Invest
287,2012.9,6,90.46,9,24.97433,121.5431,56.3,Not Invest
288,2013,19,461.1,5,24.95425,121.5399,32.9,Invest
289,2013.6,17,323.69,6,24.97841,121.5428,51,Not Invest
290,2013.3,14,289.32,5,24.98203,121.54348,44.5,Not Invest
291,2013.1,38,490.34,0,24.97217,121.53471,37,Invest
292,2012.8,3,56.47,7,24.95744,121.53711,54.4,Not Invest
293,2013.1,18,395.67,5,24.95674,121.534,24.5,Invest
294,2012.7,13,383.28,7,24.96735,121.54464,42.5,Not Invest
295,2013.5,26,335.53,6,24.9796,121.5414,38.1,Invest
296,2013.2,18,2179.59,3,24.96299,121.51252,21.8,Invest
297,2012.8,13,1144.44,4,24.99176,121.53456,34.1,Invest
298,2012.8,35,567.03,4,24.97003,121.5458,28.5,Invest
299,2013.3,17,4082.02,0,24.94155,121.50381,16.7,Invest
300,2013.2,33,121.73,10,24.98178,121.54059,46.1,Not Invest
301,2013.1,3,156.24,4,24.96696,121.53992,36.9,Invest
302,2012.8,38,461.78,0,24.97229,121.53445,35.7,Invest
303,2013.5,17,2288.01,3,24.95885,121.51359,23.2,Invest
304,2013.5,38,439.71,0,24.97161,121.53423,38.4,Invest
305,2013.4,20,1626.08,3,24.96622,121.51668,29.4,Invest
306,2013.1,16,289.32,5,24.98203,121.54348,55,Not Invest
307,2013.5,14,169.98,1,24.97369,121.52979,50.2,Not Invest
308,2012.8,10,3079.89,0,24.9546,121.56627,24.7,Invest
309,2013.4,16,289.32,5,24.98203,121.54348,53,Not Invest
310,2013.3,30,1264.73,0,24.94883,121.52954,19.1,Invest
311,2013.6,16,1643.5,2,24.95394,121.55174,24.7,Invest
312,2013.2,21,537.8,4,24.97425,121.53814,42.2,Not Invest
313,2013.6,35,318.53,9,24.97071,121.54069,78,Not Invest
314,2013.3,8,104.81,5,24.96674,121.54067,42.8,Not Invest
315,2013.3,4,577.96,6,24.97201,121.54722,41.6,Not Invest
316,2013.1,16,1756.41,2,24.9832,121.51812,27.3,Invest
317,2013.3,13,250.63,7,24.96606,121.54297,42,Not Invest
318,2012.8,16,752.77,2,24.97795,121.53451,37.5,Invest
319,2013.3,7,379.56,10,24.98343,121.53762,49.8,Not Invest
320,2013.3,35,272.68,5,24.95562,121.53872,26.9,Invest
321,2012.8,14,4197.35,0,24.93885,121.50383,18.6,Invest
322,2012.9,17,964.75,4,24.98872,121.53411,37.7,Invest
323,2013,13,187.48,1,24.97388,121.52981,33.1,Invest
324,2013.4,29,197.13,6,24.97631,121.54436,42.5,Not Invest
325,2012.7,12,1712.63,2,24.96412,121.5167,31.3,Invest
326,2013.1,37,488.82,8,24.97015,121.54494,38.1,Invest
327,2013.5,4,56.47,7,24.95744,121.53711,62.1,Not Invest
328,2013.4,4,757.34,3,24.97538,121.54971,36.7,Invest
329,2012.8,16,1497.71,3,24.97003,121.51696,23.6,Invest
330,2013,14,4197.35,0,24.93885,121.50383,19.2,Invest
331,2013.1,32,1156.78,0,24.94935,121.53046,12.8,Invest
332,2013.3,26,4519.69,0,24.94826,121.49587,15.6,Invest
333,2013.2,40,617.71,2,24.97577,121.53475,39.6,Not Invest
334,2012.8,8,104.81,5,24.96674,121.54067,38.4,Invest
335,2012.9,30,1013.34,5,24.99006,121.5346,22.8,Invest
336,2013.6,27,337.6,6,24.96431,121.54063,36.5,Invest
337,2012.8,5,1867.23,2,24.98407,121.51748,35.6,Invest
338,2012.8,31,600.86,5,24.96871,121.54651,30.9,Invest
339,2012.9,32,258.19,9,24.96867,121.54331,36.3,Invest
340,2013.3,2,329.97,5,24.98254,121.54395,50.4,Not Invest
341,2013.3,34,270.89,0,24.97281,121.53265,42.9,Not Invest
342,2013,13,750.07,2,24.97371,121.54951,37,Invest
343,2012.7,6,90.46,9,24.97433,121.5431,53.5,Not Invest
344,2013,34,563.29,8,24.98223,121.53597,46.6,Not Invest
345,2013.5,35,3085.17,0,24.998,121.5155,41.2,Not Invest
346,2012.7,0,185.43,0,24.9711,121.5317,37.9,Invest
347,2013.4,13,1712.63,2,24.96412,121.5167,30.8,Invest
348,2013.6,17,6488.02,1,24.95719,121.47353,11.2,Invest
349,2012.8,5,259.66,6,24.97585,121.54516,53.7,Not Invest
350,2012.8,8,104.81,5,24.96674,121.54067,47,Not Invest
351,2013,13,492.23,5,24.96515,121.53737,42.3,Not Invest
352,2012.8,4,2180.25,3,24.96324,121.51241,28.6,Invest
353,2012.8,18,2674.96,3,24.96143,121.50827,25.7,Invest
354,2013.5,4,2147.38,3,24.96299,121.51284,31.3,Invest
355,2013.4,12,1360.14,1,24.95204,121.54842,30.1,Invest
356,2013.3,4,383.86,5,24.98085,121.54391,60.7,Not Invest
357,2012.8,10,211.45,1,24.97417,121.52999,45.3,Not Invest
358,2013.4,0,338.97,9,24.96853,121.54413,44.9,Not Invest
359,2013.2,1,193.58,6,24.96571,121.54089,45.1,Not Invest
360,2013.5,6,2408.99,0,24.95505,121.55964,24.7,Invest
361,2012.7,33,87.3,10,24.983,121.54022,47.1,Not Invest
362,2013.1,41,281.21,8,24.97345,121.54093,63.3,Not Invest
363,2013.4,17,967.4,4,24.98872,121.53408,40,Not Invest
364,2013.5,32,109.95,10,24.98182,121.54086,48,Not Invest
365,2013.4,35,614.14,7,24.97913,121.53666,33.1,Invest
366,2012.9,17,2261.43,4,24.96182,121.51222,29.5,Invest
367,2012.8,14,1801.54,1,24.95153,121.55254,24.8,Invest
368,2012.8,15,1828.32,2,24.96464,121.51531,20.9,Invest
369,2013.4,18,350.85,1,24.97544,121.53119,43.1,Not Invest
370,2012.7,20,2185.13,3,24.96322,121.51237,22.8,Invest
371,2012.8,16,289.32,5,24.98203,121.54348,42.1,Not Invest
372,2013.5,4,312.9,5,24.95591,121.53956,51.7,Not Invest
373,2013,34,157.61,7,24.96628,121.54196,41.5,Not Invest
374,2013.1,0,274.01,1,24.9748,121.53059,52.2,Not Invest
375,2013.3,5,390.57,5,24.97937,121.54245,49.5,Not Invest
376,2013.3,22,1157.99,0,24.96165,121.55011,23.8,Invest
377,2013.4,15,1717.19,2,24.96447,121.51649,30.5,Invest
378,2013.3,4,49.66,8,24.95836,121.53756,56.8,Not Invest
379,2013.3,37,587.89,8,24.97077,121.54634,37.4,Invest
380,2013.3,0,293,6,24.97744,121.54458,69.7,Not Invest
381,2013.3,14,289.32,5,24.98203,121.54348,53.3,Not Invest
382,2013.4,8,132.55,9,24.98298,121.53981,47.3,Not Invest
383,2013,16,3529.56,0,24.93207,121.51597,29.3,Invest
384,2012.7,29,506.11,4,24.97845,121.53889,40.3,Not Invest
385,2012.8,16,4066.59,0,24.94297,121.50342,12.9,Invest
386,2013,18,82.89,10,24.983,121.54026,46.6,Not Invest
387,2012.8,0,185.43,0,24.9711,121.5317,55.3,Not Invest
388,2013.3,16,2103.56,3,24.96042,121.51462,25.6,Invest
389,2013.5,10,2251.94,4,24.95957,121.51353,27.3,Invest
390,2013.3,41,122.36,8,24.96756,121.5423,67.7,Not Invest
391,2013.5,33,377.83,9,24.97151,121.5435,38.6,Not Invest
392,2013.6,6,1939.75,1,24.95155,121.55387,31.3,Invest
393,2013.1,43,443.8,6,24.97927,121.53874,35.3,Invest
394,2013,17,967.4,4,24.98872,121.53408,40.3,Not Invest
395,2013.5,33,4136.27,1,24.95544,121.4963,24.7,Invest
396,2012.9,21,512.55,4,24.974,121.53842,42.5,Not Invest
397,2012.7,37,918.64,1,24.97198,121.55063,31.9,Invest
398,2013.4,13,1164.84,4,24.99156,121.53406,32.2,Invest
399,2013.4,15,1717.19,2,24.96447,121.51649,23,Invest
400,2012.9,13,170.13,1,24.97371,121.52984,37.3,Invest
401,2013.3,27,482.76,5,24.97433,121.53863,35.5,Invest
402,2013.1,8,2175.03,3,24.96305,121.51254,27.7,Invest
403,2012.8,13,187.48,1,24.97388,121.52981,28.5,Invest
404,2012.7,31,161.94,9,24.98353,121.53966,39.7,Not Invest
405,2013.3,16,289.32,5,24.98203,121.54348,41.2,Not Invest
406,2012.7,23,130.99,6,24.95663,121.53765,37.2,Invest
407,2013.2,2,372.14,7,24.97293,121.54026,40.5,Not Invest
408,2013,5,2408.99,0,24.95505,121.55964,22.3,Invest
